object,category,current_sim_mass_kg,obb_mm,shape_class,n_configs,held_out,real_mass_kg,mass_source,confidence,notes
003_cracker_box,YCB,,,?,,False,0.4110,YCB/elpis-lab,high,
005_tomato_soup_can,YCB,,,?,,False,0.3490,YCB/elpis-lab,high,
010_potted_meat_can,YCB,,,?,,True,0.3700,YCB/elpis-lab,high,
013_apple,YCB,,,convex,,True,0.0680,YCB/elpis-lab,high,
015_peach,YCB,0.04752,105.9,convex,1,False,0.0330,YCB/elpis-lab,high,
018_plum,YCB,0.03493,95.4,convex,1,False,0.0250,YCB/elpis-lab,high,
024_bowl,YCB,0.147,234.7,concave,1,False,0.1470,YCB/elpis-lab,high,
040_large_marker,YCB,,,?,,False,0.0158,YCB/elpis-lab,high,
048_hammer,YCB,0.33348,380.8,concave,1,False,0.6650,YCB/elpis-lab,high,
051_large_clamp,YCB,0.15061,212.6,concave,2,False,0.1250,YCB/elpis-lab,high,
052_extra_large_clamp,YCB,0.24037,269.1,concave,2,False,0.2020,YCB/elpis-lab,high,
061_foam_brick,YCB,0.07896,107.0,convex,2,False,0.0280,YCB/elpis-lab,high,
065-a_cups,YCB,0.05,101.7,concave,1,False,0.0130,YCB/elpis-lab,high,
065-b_cups,YCB,0.05989,107.3,concave,1,False,0.0140,YCB/elpis-lab,high,
065-c_cups,YCB,0.07368,113.5,concave,1,False,0.0170,YCB/elpis-lab,high,
065-d_cups,YCB,0.08948,121.4,concave,1,False,0.0190,YCB/elpis-lab,high,
065-e_cups,YCB,0.10621,128.0,concave,1,False,0.0210,YCB/elpis-lab,high,
065-f_cups,YCB,0.12381,135.2,concave,1,False,0.0260,YCB/elpis-lab,high,
065-g_cups,YCB,0.14651,143.9,concave,1,False,0.0280,YCB/elpis-lab,high,
065-i_cups,YCB,0.1892,157.9,concave,1,False,0.0350,YCB/elpis-lab,high,
072-c_toy_airplane,YCB,0.01776,79.6,concave,1,False,0.1140,YCB/elpis-lab,high,
072-e_toy_airplane,YCB,0.01132,79.2,other,1,True,0.1140,YCB/elpis-lab,high,
073-d_lego_duplo,YCB,0.02278,89.4,convex,2,False,0.0372,YCB/elpis-lab,high,
077_rubiks_cube,YCB,0.07606,122.0,convex,1,True,0.0940,YCB/elpis-lab,high,
