object,n_stable,n_eff,pmax,isotropy,tv_long,tv_mid,tv_short,tv_max,long_mm,degenerate
002_master_chef_can,10,7.2,0.22,0.73,0.33,0.82,0.59,0.82,144.5,True
003_cracker_box,6,3.4,0.38,0.31,0.08,0.08,0.19,0.19,227.7,False
004_sugar_box,7,3.6,0.37,0.31,0.12,0.45,0.21,0.45,186.8,False
006_mustard_bottle,8,4.1,0.4,0.31,0.34,0.91,0.24,0.91,200.5,False
007_tuna_fish_can,5,2.4,0.46,0.49,0.39,0.32,0.2,0.39,91.5,False
008_pudding_box,6,3.2,0.39,0.3,0.23,0.47,0.22,0.47,124.2,False
009_gelatin_box,6,3.3,0.38,0.43,0.8,0.09,0.19,0.8,98.3,False
010_potted_meat_can,7,4.3,0.31,0.55,0.68,0.39,0.21,0.68,103.1,False
011_banana,3,2.6,0.51,0.23,0.26,1.0,0.29,1.0,201.9,False
012_strawberry,15,11.3,0.15,0.84,0.84,1.0,0.89,1.0,49.5,True
013_apple,10,6.1,0.31,0.92,0.8,0.65,0.9,0.9,81.5,True
014_lemon,14,8.5,0.27,0.85,1.0,1.0,1.0,1.0,64.1,True
015_peach,5,3.8,0.38,0.94,0.92,0.89,0.68,0.92,63.3,True
016_pear,11,7.4,0.21,0.68,0.86,0.71,0.61,0.86,108.8,False
017_orange,1,1.0,1.0,0.98,0.9,1.0,1.0,1.0,73.4,True
018_plum,6,3.5,0.41,0.94,0.92,0.86,0.95,0.95,55.3,True
019_pitcher_base,11,7.5,0.25,0.57,0.45,0.92,0.79,0.92,250.8,False
021_bleach_cleanser,7,3.8,0.36,0.27,0.44,0.79,0.31,0.79,267.9,False
022_windex_bottle,6,4.0,0.42,0.31,0.68,0.62,0.86,0.86,281.6,False
024_bowl,2,1.9,0.61,0.36,0.39,0.39,0.06,0.39,168.4,False
025_mug,12,8.0,0.23,0.99,0.75,0.54,0.48,0.75,119.2,True
026_sponge,2,2.0,0.5,0.16,0.01,0.5,0.04,0.5,124.7,False
028_skillet_lid,4,3.1,0.47,0.29,0.53,0.53,0.05,0.53,279.8,False
029_plate,2,2.0,0.52,0.12,0.0,0.0,0.02,0.02,273.6,False
030_fork,7,5.1,0.27,0.1,0.53,0.61,0.15,0.61,208.2,False
031_spoon,4,2.7,0.5,0.13,0.96,0.96,0.38,0.96,205.2,False
033_spatula,3,2.4,0.55,0.14,0.61,0.75,0.13,0.75,325.9,False
035_power_drill,4,2.9,0.47,0.28,0.28,0.25,0.12,0.28,198.0,False
036_wood_block,6,4.8,0.24,0.49,0.27,0.31,0.19,0.31,218.1,False
037_scissors,2,2.0,0.52,0.11,0.48,0.01,0.04,0.48,209.4,False
038_padlock,8,4.0,0.36,0.38,0.28,0.63,0.17,0.63,89.1,False
040_large_marker,13,9.9,0.15,0.2,0.54,0.65,0.7,0.7,130.2,True
043_phillips_screwdriver,21,16.5,0.11,0.15,0.69,0.86,0.87,0.87,223.6,True
