object_id,family,object_sets,n_episodes,split
002_master_chef_can,002_master_chef_can,573,7,train
003_cracker_box,003_cracker_box,573_reused,16,test
004_sugar_box,004_sugar_box,573_reused,48,train
006_mustard_bottle,006_mustard_bottle,573_reused|focused_187,255,test
007_tuna_fish_can,007_tuna_fish_can,573_reused,9,val
008_pudding_box,008_pudding_box,573_reused,21,train
009_gelatin_box,009_gelatin_box,573_reused,3,train
010_potted_meat_can,010_potted_meat_can,573_reused,5,test
011_banana,011_banana,573_reused,22,train
012_strawberry,012_strawberry,573_reused,10,val
013_apple,013_apple,573_reused|focused_187,317,train
014_lemon,014_lemon,573_reused,17,test
015_peach,015_peach,573_reused|focused_187,195,train
016_pear,016_pear,573_reused|focused_187,231,val
017_orange,017_orange,573_reused|focused_187,300,val
018_plum,018_plum,573_reused|focused_187,113,train
019_pitcher_base,019_pitcher_base,573_reused,44,test
021_bleach_cleanser,021_bleach_cleanser,573_reused|focused_187,271,train
022_windex_bottle,022_windex_bottle,573_reused|focused_187,232,train
024_bowl,024_bowl,573_reused|focused_187,233,train
025_mug,025_mug,573_reused,18,test
026_sponge,026_sponge,573_reused,1,test
028_skillet_lid,028_skillet_lid,573_reused|focused_187,147,test
029_plate,029_plate,573_reused|focused_187,278,val
030_fork,030_fork,573_reused,2,train
031_spoon,031_spoon,573_reused,2,train
033_spatula,033_spatula,573_reused,20,train
035_power_drill,035_power_drill,573_reused,37,train
036_wood_block,036_wood_block,573,4,val
037_scissors,037_scissors,573_reused,7,test
038_padlock,038_padlock,573_reused,9,test
040_large_marker,040_large_marker,573,1,train
043_phillips_screwdriver,043_phillips_screwdriver,573_reused,7,train
044_flat_screwdriver,044_flat_screwdriver,573_reused,8,train
048_hammer,048_hammer,573|focused_187,286,test
050_medium_clamp,050_medium_clamp,573_reused,13,val
051_large_clamp,051_large_clamp,573_reused|focused_187,130,train
052_extra_large_clamp,052_extra_large_clamp,573_reused|focused_187,217,val
053_mini_soccer_ball,053_mini_soccer_ball,573,2,train
054_softball,054_softball,573,11,train
055_baseball,055_baseball,573_reused,42,test
057_racquetball,057_racquetball,573_reused,7,train
058_golf_ball,058_golf_ball,573_reused,3,train
061_foam_brick,061_foam_brick,573_reused|focused_187,205,train
065-a_cups,065_cups,573_reused|focused_187,149,train
065-b_cups,065_cups,573_reused|focused_187,148,train
065-c_cups,065_cups,573_reused|focused_187,269,train
065-d_cups,065_cups,573_reused|focused_187,311,train
065-e_cups,065_cups,573_reused|focused_187,316,train
065-f_cups,065_cups,573_reused|focused_187,323,train
065-g_cups,065_cups,573_reused|focused_187,183,train
065-h_cups,065_cups,573_reused,19,train
065-i_cups,065_cups,573_reused|focused_187,89,train
065-j_cups,065_cups,573_reused,11,train
070-b_colored_wood_blocks,070_colored_wood_blocks,573_reused,8,train
071_nine_hole_peg_test,071_nine_hole_peg_test,573,52,train
072-b_toy_airplane,072_toy_airplane,573_reused,36,train
072-c_toy_airplane,072_toy_airplane,573_reused|focused_187,118,train
072-d_toy_airplane,072_toy_airplane,573_reused,14,train
072-e_toy_airplane,072_toy_airplane,573_reused|focused_187,71,train
073-a_lego_duplo,073_lego_duplo,573_reused,19,val
073-b_lego_duplo,073_lego_duplo,573_reused,19,val
073-c_lego_duplo,073_lego_duplo,573_reused,20,val
073-d_lego_duplo,073_lego_duplo,573_reused|focused_187,190,val
073-e_lego_duplo,073_lego_duplo,573_reused,9,val
073-f_lego_duplo,073_lego_duplo,573_reused,17,val
077_rubiks_cube,077_rubiks_cube,573_reused|focused_187,274,train
3D_Dollhouse_Lamp,3D_Dollhouse_Lamp,573|focused_187,237,val
3D_Dollhouse_Refrigerator,3D_Dollhouse_Refrigerator,573,9,test
3D_Dollhouse_Sink,3D_Dollhouse_Sink,573,20,train
3D_Dollhouse_Sofa,3D_Dollhouse_Sofa,573,23,train
3D_Dollhouse_Swing,3D_Dollhouse_Swing,573,12,train
3D_Dollhouse_TablePurple,3D_Dollhouse_TablePurple,573|focused_187,271,train
3M_Antislip_Surfacing_Light_Duty_White,3M_Antislip_Surfacing_Light_Duty_White,573,15,train
